Date,Price,Open,High,Low,Vol.,Change %
15-Dec-21,"23,420.76","23,658.04","23,745.75","23,325.92",1.60B,-0.91%
14-Dec-21,"23,635.95","23,693.73","23,817.58","23,560.13",1.55B,-1.33%
13-Dec-21,"23,954.58","24,242.26","24,385.44","23,936.93",1.54B,-0.17%
10-Dec-21,"23,995.72","24,070.56","24,214.68","23,916.63",1.41B,-1.07%
09-Dec-21,"24,254.86","24,168.41","24,324.84","24,153.72",1.74B,1.08%
08-Dec-21,"23,996.87","24,090.02","24,097.98","23,907.30",1.78B,0.06%
07-Dec-21,"23,983.66","23,704.51","23,989.78","23,512.50",2.12B,2.72%
06-Dec-21,"23,349.38","23,420.44","23,628.30","23,314.97",2.36B,-1.76%
03-Dec-21,"23,766.69","23,675.26","23,802.77","23,451.93",2.72B,-0.09%
02-Dec-21,"23,788.93","23,524.05","23,807.00","23,517.52",2.33B,0.55%
01-Dec-21,"23,658.92","23,595.57","23,864.30","23,537.65",2.12B,0.78%
30-Nov-21,"23,475.26","23,782.86","23,888.37","23,175.37",3.34B,-1.58%
29-Nov-21,"23,852.24","23,910.49","24,134.32","23,774.31",1.74B,-0.95%
26-Nov-21,"24,080.52","24,502.68","24,502.68","24,062.26",1.80B,-2.67%
25-Nov-21,"24,740.16","24,699.69","24,762.61","24,532.82",1.19B,0.22%
24-Nov-21,"24,685.50","24,672.10","24,851.53","24,557.63",1.79B,0.14%
23-Nov-21,"24,651.58","24,688.99","24,794.72","24,618.74",1.49B,-1.20%
22-Nov-21,"24,951.34","25,057.06","25,099.95","24,869.94",1.51B,-0.39%
19-Nov-21,"25,049.97","24,934.40","25,077.15","24,825.43",1.64B,-1.07%
18-Nov-21,"25,319.72","25,369.88","25,414.21","25,222.60",1.34B,-1.29%
17-Nov-21,"25,650.08","25,667.81","25,667.81","25,520.67",1.19B,-0.25%
16-Nov-21,"25,713.78","25,446.65","25,746.71","25,410.87",1.53B,1.27%
15-Nov-21,"25,390.91","25,437.99","25,483.26","25,230.33",1.16B,0.25%
12-Nov-21,"25,327.97","25,522.83","25,527.13","25,210.56",1.63B,0.32%
11-Nov-21,"25,247.99","24,856.11","25,324.66","24,836.21",2.00B,1.01%
10-Nov-21,"24,996.14","24,787.44","25,013.11","24,481.26",1.69B,0.74%
09-Nov-21,"24,813.13","24,952.82","24,956.37","24,678.66",1.15B,0.20%
08-Nov-21,"24,763.77","24,743.54","24,837.77","24,633.57",1.76B,-0.43%
05-Nov-21,"24,870.51","24,950.68","25,049.37","24,724.39",2.02B,-1.41%
