Date,Price,Open,High,Low,Vol.,Change %
15-Dec-21,"15,565.60","15,230.70","15,575.80","15,055.20",1.17B,2.15%
14-Dec-21,"15,237.60","15,216.00","15,317.60","15,097.40",1.03B,-1.14%
13-Dec-21,"15,413.30","15,621.30","15,637.10","15,408.20",996.25M,-1.39%
10-Dec-21,"15,630.60","15,629.60","15,677.60","15,477.90",875.08M,0.73%
09-Dec-21,"15,517.40","15,720.50","15,796.10","15,511.10",869.50M,-1.71%
08-Dec-21,"15,787.00","15,690.70","15,792.60","15,618.90",921.93M,0.64%
07-Dec-21,"15,686.90","15,510.90","15,720.10","15,507.70",1.06B,3.03%
06-Dec-21,"15,225.20","15,117.60","15,282.00","14,931.60",1.07B,0.93%
03-Dec-21,"15,085.50","15,428.70","15,470.40","14,931.10",1.20B,-1.92%
02-Dec-21,"15,381.30","15,181.80","15,444.50","15,150.10",1.10B,0.83%
01-Dec-21,"15,254.10","15,752.30","15,816.80","15,243.90",1.22B,-1.83%
30-Nov-21,"15,537.70","15,716.50","15,828.20","15,451.40",1.78B,-1.55%
29-Nov-21,"15,782.80","15,719.40","15,833.10","15,644.60",1.01B,1.88%
26-Nov-21,"15,491.70","15,664.40","15,731.50","15,456.10",781.49M,-2.23%
24-Nov-21,"15,845.20","15,677.90","15,848.60","15,591.40",842.33M,0.44%
23-Nov-21,"15,775.10","15,809.50","15,895.90","15,601.50",1.07B,-0.50%
22-Nov-21,"15,854.80","16,120.90","16,212.20","15,851.00",1.13B,-1.26%
19-Nov-21,"16,057.40","16,042.20","16,121.10","16,017.20",1.02B,0.40%
18-Nov-21,"15,993.70","15,973.40","16,010.90","15,848.80",1.08B,0.45%
17-Nov-21,"15,921.60","15,973.60","15,998.60","15,909.40",966.81M,-0.33%
16-Nov-21,"15,973.90","15,840.30","15,989.60","15,825.00",1.01B,0.76%
15-Nov-21,"15,853.80","15,894.80","15,918.50","15,778.30",952.14M,-0.04%
12-Nov-21,"15,861.00","15,752.60","15,874.60","15,705.40",988.93M,1.00%
11-Nov-21,"15,704.30","15,752.10","15,768.00","15,695.80",867.11M,0.52%
10-Nov-21,"15,622.70","15,753.80","15,867.20","15,543.70",989.63M,-1.66%
09-Nov-21,"15,886.50","16,024.10","16,035.20","15,836.70",1.03B,-0.60%
08-Nov-21,"15,982.40","15,995.70","16,038.20","15,961.80",1.06B,0.07%
05-Nov-21,"15,971.60","16,003.60","16,053.40","15,900.80",1.06B,0.20%
04-Nov-21,"15,940.30","15,849.70","15,966.10","15,827.70",1.02B,0.81%
